"","Jobs","Machines","new_avg_value","new_std_value","new_avg_cost","new_std_cost"
"1",20,5,15167.3,934.299862642253,470,0
"2",20,10,21988.7,1480.8962789098,470,0
"3",20,20,35097.6,785.869115480858,470,0
"4",50,5,73437,2532.75809258515,2660,0
"5",50,10,95712.5,2753.53595904934,2660,0
"6",50,20,134217.3,3089.81934207595,2660,0
"7",100,5,268902.7,8404.76354416549,10310,0
"8",100,10,321155.2,9639.72298818223,10310,0
"9",100,20,417602.7,10754.5848625908,10310,0
"10",200,5,1015060.5,21362.651627992,40610,0
"11",200,10,1135496,22323.2251751897,40610,0
"12",200,20,1355675,17960.264320005,40610,0
"13",500,5,6215596,79331.7715812664,251510,0
"14",500,10,6518752,51756.6435456465,251510,0
"15",500,20,7230257,79844.8403745943,251510,0
