"","n","m","l","k","avg_value","std_value","avg_cost","std_cost"
"1",100,990,25,1,0,NA,3737.10407239819,NA
"2",100,990,25,3,11.1111111111111,49.3006648591635,2329.4007774244,353.172800242314
"3",100,990,50,3,-0.793650793650794,2.09980262782904,1026.70920692799,0
"4",100,990,50,6,0,0,551.993227643528,0
"5",100,990,100,6,-1.27838827838828,5.49370364519413,301.008060745479,77.2258702005173
"6",100,990,125,6,262.069283056125,550.424761687703,2801.13412457613,2796.38935990774
"7",100,2475,50,3,-85.7142857142857,NA,1026.70920692799,NA
"8",200,3980,50,3,-25.1832611832612,64.2586798291989,512.535737266443,582.587391800919
"9",200,3980,100,6,20,42.1637021355784,273.397669677757,65.9432306085606
"10",200,3980,200,6,1.26433914758403,16.836872532498,88.8612800169649,31.5093501835462
"11",200,3980,250,6,1868.08888888889,2545.7246153667,3072.99081686419,3068.75722451547
"12",200,3980,250,12,-18.1836734693878,81.5047595087178,268.924596789006,557.784161305444
"13",300,8970,75,2,1075,1520.27957955108,564.554922448447,429.671536919182
"14",300,8970,75,4,-30.1997288277013,69.2280555427346,372.780578321878,295.831246349542
"15",300,8970,150,4,725.158696166124,1546.08531927272,107.165581555813,141.824845407731
"16",300,8970,300,9,19.5454545454545,26.576099051607,645.162940053883,2076.88877319777
"17",300,8970,375,9,176.8334998335,166.003785246676,200.465603674051,247.622855123069
"18",400,15960,100,3,12.3006658803872,36.85326300726,442.323181186246,204.613709713732
"19",400,15960,200,6,-37.5803827079689,46.3074380915427,-11.4053350898591,77.8951950495255
"20",400,15960,400,6,1.35135135135135,NA,-16.5982886616107,NA
"21",400,15960,400,12,78.2407407407407,96.2350677851112,761.496335382573,2438.95426600874
"22",400,15960,500,12,387.669942669943,435.063119316188,220.74491444985,185.608038234559
"23",500,24950,125,3,101.724734557855,315.947789152325,341.011501971684,167.465689237656
"24",500,24950,250,7,-44.1901311249137,37.0002916898357,-48.1909495847561,55.7781702817796
"25",500,24950,500,7,423.10880663272,465.410450521973,-54.9990581167236,26.2820950312363
"26",500,24950,625,7,98.7719298245614,4.32234561219472,1422.9323147962,184.645730200085
"27",500,24950,625,15,-84.9763331906189,8.1196227898479,348.777728976423,763.91737802277
"28",1000,99900,250,3,10.1228476560627,84.4502033890744,62.1336944901666,132.44274579157
"29",1000,99900,500,7,1099.32692307692,742.997394757237,-72.3176650928787,25.2929838161164
"30",1000,99900,1000,7,1.38949031904833,2.64249255459562,-66.215702837476,4.29003345159928
"31",1000,99900,1000,15,70,115.758369027902,-84.9886266314261,2.9156548731299
"32",1000,99900,1250,15,261.722222222222,611.572578291832,-84.5568636932766,2.09066772010586
