method,instance,n,m,l,k,nro,value,cost
klsfp.json,100_990_25_1_7,100,990,25,1,7,46,50880
klsfp.json,100_990_25_3_2,100,990,25,3,2,3,101760
klsfp.json,100_990_25_3_1,100,990,25,3,1,3,101760
klsfp.json,100_990_25_3_4,100,990,25,3,4,2,101760
klsfp.json,100_990_25_3_5,100,990,25,3,5,3,101760
klsfp.json,100_990_25_3_8,100,990,25,3,8,2,101760
klsfp.json,100_990_25_3_6,100,990,25,3,6,2,101760
klsfp.json,100_990_25_3_9,100,990,25,3,9,3,101760
klsfp.json,100_990_25_3_10,100,990,25,3,10,3,101760
klsfp.json,100_990_25_3_3,100,990,25,3,3,1,148400
klsfp.json,100_990_50_3_1,100,990,50,3,1,16,197760
klsfp.json,100_990_50_3_2,100,990,50,3,2,20,197760
klsfp.json,100_990_50_3_4,100,990,50,3,4,21,197760
klsfp.json,100_990_50_3_5,100,990,50,3,5,17,197760
klsfp.json,100_990_50_3_6,100,990,50,3,6,17,197760
klsfp.json,100_990_50_3_7,100,990,50,3,7,22,197760
klsfp.json,100_990_50_3_9,100,990,50,3,9,16,197760
klsfp.json,100_990_50_6_3,100,990,50,6,3,1,338880
klsfp.json,100_990_50_6_8,100,990,50,6,8,1,338880
klsfp.json,100_990_50_6_10,100,990,50,6,10,1,338880
klsfp.json,100_990_100_6_1,100,990,100,6,1,14,674880
klsfp.json,100_990_100_6_6,100,990,100,6,6,13,703000
klsfp.json,100_990_100_6_7,100,990,100,6,7,13,703000
klsfp.json,100_990_100_6_5,100,990,100,6,5,12,787360
klsfp.json,100_990_100_6_10,100,990,100,6,10,13,674880
klsfp.json,100_990_100_6_2,100,990,100,6,2,13,984200
klsfp.json,100_990_100_6_9,100,990,100,6,9,13,927960
klsfp.json,100_990_100_6_3,100,990,100,6,3,14,1012320
klsfp.json,100_990_100_6_4,100,990,100,6,4,12,1012320
klsfp.json,100_990_100_6_8,100,990,100,6,8,12,1096680
klsfp.json,100_990_125_6_1,100,990,125,6,1,19,913120
klsfp.json,100_2475_50_3_1,100,2475,50,3,1,1,197760
klsfp.json,200_3980_50_3_1,200,3980,50,3,1,7,197760
klsfp.json,200_3980_50_3_2,200,3980,50,3,2,3,214240
klsfp.json,200_3980_50_3_3,200,3980,50,3,3,7,197760
klsfp.json,100_990_125_6_3,100,990,125,6,3,18,878000
klsfp.json,100_990_125_6_2,100,990,125,6,2,22,1264320
klsfp.json,100_990_125_6_4,100,990,125,6,4,20,878000
klsfp.json,200_3980_50_3_4,200,3980,50,3,4,6,214240
klsfp.json,100_990_125_6_5,100,990,125,6,5,18,878000
klsfp.json,200_3980_50_3_5,200,3980,50,3,5,7,197760
