"","n","m","l","k","avg_value","std_value","avg_cost","std_cost"
"1",100,990,25,1,46,NA,50880,NA
"2",100,990,25,3,2.44444444444444,0.726483157256779,106942.222222222,15546.6666666667
"3",100,990,50,3,18.4285714285714,2.50713268211203,197760,0
"4",100,990,50,6,1,0,338880,0
"5",100,990,100,6,12.9,0.737864787372622,857660,165167.602150058
"6",100,990,125,6,20.5,1.90029237516523,1018480,178310.634318627
"7",100,2475,50,3,1,NA,197760,NA
"8",200,3980,50,3,6.3,1.33749350984926,204352,8510.23540606643
"9",200,3980,100,6,1.7,0.483045891539648,798608,141036.743896365
"10",200,3980,200,6,32.7,3.91719854544602,1638704,273399.069298587
"11",200,3980,250,6,47.8,1.92353840616713,2117624,268844.140125836
"12",200,3980,250,12,1.6,0.547722557505166,3735200,751026.604056075
"13",300,8970,75,2,46,1.4142135623731,220800,0
"14",300,8970,75,4,1.125,0.353553390593274,432435,58707.2132341017
"15",300,8970,150,4,34.9,2.92308816911917,822528,131272.409286948
"16",300,8970,300,9,12.4,1.42984070596848,3696876,661214.729539504
"17",300,8970,375,9,28.2,1.93218356615859,4683732,1106504.3543701
"18",400,15960,100,3,16.8,2.25092573548455,418992,76095.3712711154
"19",400,15960,200,6,7.7,1.41813649241218,1728496,285912.291881424
"20",400,15960,400,6,75,NA,2915120,NA
"21",400,15960,400,12,1.88888888888889,0.781735959970572,6226977.77777778,1139486.97423202
"22",400,15960,500,12,11.4,1.89736659610103,8643920,1539322.24970746
"23",500,24950,125,3,22.1,2.37814119756493,532312,92530.2320325633
"24",500,24950,250,7,3.1,0.737864787372622,2368000,352161.579076676
"25",500,24950,500,7,75,2.94392028877595,4496000,655153.925933949
"26",500,24950,625,7,115.333333333333,5.85946527708232,6666666.66666667,808290.376865476
"27",500,24950,625,15,2.28571428571429,0.755928946018454,11246400,2269158.22277778
"28",1000,99900,250,3,55.7,3.30151480384384,1255488,275414.637745426
"29",1000,99900,500,7,17.2,1.68654808542314,5344000,791779.99188888
"30",1000,99900,1000,7,185,3.36650164612069,9760000,1239354.67078637
"31",1000,99900,1000,15,2,0.894427190999916,19446800,4262869.81644995
"32",1000,99900,1250,15,18.2,2.57336787541584,27836240,4951833.57896626
