method,instance,n,m,l,k,nro,value,cost
pilot.json,100_990_25_1_7,100,990,25,1,7,46,1326
pilot.json,100_990_25_3_1,100,990,25,3,1,3,4402
pilot.json,100_990_25_3_2,100,990,25,3,2,3,4402
pilot.json,100_990_25_3_3,100,990,25,3,3,1,4402
pilot.json,100_990_25_3_4,100,990,25,3,4,2,4402
pilot.json,100_990_25_3_5,100,990,25,3,5,3,4402
pilot.json,100_990_25_3_6,100,990,25,3,6,2,4402
pilot.json,100_990_25_3_8,100,990,25,3,8,2,4402
pilot.json,100_990_25_3_9,100,990,25,3,9,3,4402
pilot.json,100_990_25_3_10,100,990,25,3,10,3,4402
pilot.json,100_990_50_3_1,100,990,50,3,1,16,17552
pilot.json,100_990_50_3_2,100,990,50,3,2,20,17552
pilot.json,100_990_50_3_4,100,990,50,3,4,21,17552
pilot.json,100_990_50_3_5,100,990,50,3,5,18,17552
pilot.json,100_990_50_3_6,100,990,50,3,6,17,17552
pilot.json,100_990_50_3_7,100,990,50,3,7,22,17552
pilot.json,100_990_50_3_9,100,990,50,3,9,16,17552
pilot.json,100_990_50_6_3,100,990,50,6,3,1,51976
pilot.json,100_990_50_6_8,100,990,50,6,8,1,51976
pilot.json,100_990_50_6_10,100,990,50,6,10,1,51976
pilot.json,100_990_100_6_1,100,990,100,6,1,14,213876
pilot.json,100_990_100_6_2,100,990,100,6,2,14,213876
pilot.json,100_990_100_6_3,100,990,100,6,3,15,213876
pilot.json,100_990_100_6_4,100,990,100,6,4,12,213876
pilot.json,100_990_100_6_5,100,990,100,6,5,13,213876
pilot.json,100_990_100_6_6,100,990,100,6,6,13,213876
pilot.json,100_990_100_6_7,100,990,100,6,7,13,213876
pilot.json,100_990_100_6_9,100,990,100,6,9,13,213876
pilot.json,100_990_100_6_8,100,990,100,6,8,12,213876
pilot.json,100_990_100_6_10,100,990,100,6,10,12,213876
pilot.json,100_2475_50_3_1,100,2475,50,3,1,1,17552
pilot.json,200_3980_50_3_1,200,3980,50,3,1,7,17552
pilot.json,200_3980_50_3_2,200,3980,50,3,2,3,17552
pilot.json,200_3980_50_3_3,200,3980,50,3,3,7,17552
pilot.json,200_3980_50_3_4,200,3980,50,3,4,6,17552
pilot.json,200_3980_50_3_5,200,3980,50,3,5,7,17552
pilot.json,200_3980_50_3_6,200,3980,50,3,6,6,17552
pilot.json,200_3980_50_3_7,200,3980,50,3,7,8,17552
pilot.json,200_3980_50_3_8,200,3980,50,3,8,6,17552
pilot.json,100_990_125_6_1,100,990,125,6,1,19,336076
pilot.json,100_990_125_6_2,100,990,125,6,2,22,336076
pilot.json,200_3980_50_3_9,200,3980,50,3,9,6,17552
pilot.json,200_3980_50_3_10,200,3980,50,3,10,7,17552
pilot.json,100_990_125_6_3,100,990,125,6,3,18,336076
pilot.json,100_990_125_6_4,100,990,125,6,4,20,336076
pilot.json,100_990_125_6_5,100,990,125,6,5,18,336076
pilot.json,100_990_125_6_6,100,990,125,6,6,20,336076
pilot.json,100_990_125_6_9,100,990,125,6,9,21,336076
pilot.json,100_990_125_6_7,100,990,125,6,7,22,336076
pilot.json,100_990_125_6_8,100,990,125,6,8,21,336076
pilot.json,100_990_125_6_10,100,990,125,6,10,24,336076
pilot.json,200_3980_100_6_1,200,3980,100,6,1,2,213876
pilot.json,200_3980_100_6_2,200,3980,100,6,2,1,213876
pilot.json,200_3980_100_6_3,200,3980,100,6,3,1,213876
pilot.json,200_3980_100_6_4,200,3980,100,6,4,1,213876
pilot.json,200_3980_100_6_5,200,3980,100,6,5,2,213876
pilot.json,200_3980_100_6_6,200,3980,100,6,6,2,213876
pilot.json,200_3980_100_6_7,200,3980,100,6,7,1,213876
pilot.json,200_3980_100_6_9,200,3980,100,6,9,1,213876
pilot.json,200_3980_100_6_8,200,3980,100,6,8,2,213876
pilot.json,200_3980_100_6_10,200,3980,100,6,10,2,213876
pilot.json,200_3980_200_6_1,200,3980,200,6,1,29,867676
pilot.json,200_3980_200_6_2,200,3980,200,6,2,28,867676
pilot.json,200_3980_200_6_3,200,3980,200,6,3,40,867676
pilot.json,200_3980_200_6_4,200,3980,200,6,4,33,867676
pilot.json,200_3980_200_6_5,200,3980,200,6,5,34,867676
pilot.json,200_3980_200_6_6,200,3980,200,6,6,34,867676
pilot.json,200_3980_200_6_7,200,3980,200,6,7,31,867676
pilot.json,200_3980_200_6_8,200,3980,200,6,8,29,867676
pilot.json,200_3980_200_6_9,200,3980,200,6,9,38,867676
pilot.json,200_3980_200_6_10,200,3980,200,6,10,31,867676
pilot.json,300_8970_75_2_3,300,8970,75,2,3,47,22801
