,name,Value,Cost,method,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost,Diff.Value,Diff.Cost,Diff.Has,Type,NodesC,EdgesC,LabelsC,MaxC,InstanceC,a,b,c,d,ValueC,t,CostC,Diff.ValueC,Diff.CostC
1,100_990_100_6_1,14,2686382,pilot.json,100,990,100,6,1,14,4485816,0,-40.1138611124487,FALSE,CBFS,100,990,100,6,1,208,208,0.017028925,0,14,0.202115096,198919,0,1250.49040061533
2,100_990_100_6_10,12,2656572,pilot.json,100,990,100,6,10,12,4424274,0,-39.9546230635806,FALSE,CBFS,100,990,100,6,10,208,208,0.021633251,0,12,0.2296316,200079,0,1227.76153419399
3,100_990_100_6_2,14,2675456,pilot.json,100,990,100,6,2,14,4455544,0,-39.9522033673105,FALSE,CBFS,100,990,100,6,2,208,208,0.020134831,8,13,0.178189075,198364,7.69230769230769,1248.76086386643
4,100_990_100_6_3,15,2667686,pilot.json,100,990,100,6,3,15,4445570,0,-39.9922619596587,FALSE,CBFS,100,990,100,6,3,208,208,0.018681927,0,14,0.191751151,196252,7.14285714285714,1259.31659295192
5,100_990_100_6_4,12,2685970,pilot.json,100,990,100,6,4,12,4464110,0,-39.8319037837329,FALSE,CBFS,100,990,100,6,4,208,208,0.018814217,0,11,0.188433825,197510,9.09090909090909,1259.9159536226
6,100_990_100_6_5,13,2671594,pilot.json,100,990,100,6,5,13,4451724,0,-39.9874295890761,FALSE,CBFS,100,990,100,6,5,208,208,0.019003864,0,12,0.214258362,197349,8.33333333333333,1253.74083476481
7,100_990_100_6_6,13,2650560,pilot.json,100,990,100,6,6,13,4399550,0,-39.7538384607517,FALSE,CBFS,100,990,100,6,6,208,208,0.019181349,0,13,0.196976069,195044,0,1258.95490248354
8,100_990_100_6_7,13,2699326,pilot.json,100,990,100,6,7,13,4500630,0,-40.023374505347,FALSE,CBFS,100,990,100,6,7,208,208,0.020342503,0,13,0.213908592,200818,0,1244.16536366262
9,100_990_100_6_8,12,2654830,pilot.json,100,990,100,6,8,12,4416806,0,-39.8925377297531,FALSE,CBFS,100,990,100,6,8,208,208,0.025172516,5,12,0.222509838,196512,0,1250.97602182055
10,100_990_100_6_9,13,2674750,pilot.json,100,990,100,6,9,13,4457622,0,-39.9960337597042,FALSE,CBFS,100,990,100,6,9,208,208,0.020501553,0,13,0.223242712,198142,0,1249.91571701103
11,100_990_125_6_1,19,4431059,pilot.json,100,990,125,6,1,19,7370955,0,-39.8848724486854,FALSE,CBFS,100,990,125,6,1,222,222,0.022866581,0,19,0.358806977,270085,0,1540.61647259196
