"Type","name","Nodes","Edges","Labels","Max","Instance","a","b","c","d","Value","t","Cost"
"CBFS","100_990_25_1_7",100,990,25,1,7,32,32,9.4869e-05,0,46,0.000172225,857
"CBFS","100_990_25_3_1",100,990,25,3,1,77,77,0.00129695,0,3,0.002150772,7107
"CBFS","100_990_25_3_2",100,990,25,3,2,77,77,0.001287131,0,3,0.002147526,7212
"CBFS","100_990_25_3_3",100,990,25,3,3,77,77,0.001911951,9,1,0.001993004,6153
"CBFS","100_990_25_3_4",100,990,25,3,4,77,77,0.001353026,0,2,0.002202811,7171
"CBFS","100_990_25_3_5",100,990,25,3,5,77,77,0.001501326,0,3,0.002397308,7215
"CBFS","100_990_25_3_6",100,990,25,3,6,77,77,0.001511806,0,2,0.002430331,7093
"CBFS","100_990_25_3_8",100,990,25,3,8,77,77,0.001210907,0,2,0.002016829,7099
"CBFS","100_990_25_3_9",100,990,25,3,9,77,77,0.001434349,0,3,0.002323969,7161
"CBFS","100_990_25_3_10",100,990,25,3,10,77,77,0.001516404,5,3,0.002252274,7145
"CBFS","100_990_50_3_1",100,990,50,3,1,98,98,0.002428217,0,16,0.004651496,19248
"CBFS","100_990_50_3_2",100,990,50,3,2,98,98,0.002418087,0,20,0.004668778,19503
"CBFS","100_990_50_3_4",100,990,50,3,4,98,98,0.002558412,0,21,0.00487069,19559
"CBFS","100_990_50_3_5",100,990,50,3,5,98,98,0.003419278,7,17,0.005488386,19555
"CBFS","100_990_50_3_6",100,990,50,3,6,98,98,0.002437103,0,17,0.004615197,19271
"CBFS","100_990_50_3_7",100,990,50,3,7,98,98,0.002494852,0,22,0.004876941,19860
"CBFS","100_990_50_3_9",100,990,50,3,9,98,98,0.002490033,0,16,0.004740283,19353
"CBFS","100_990_50_6_3",100,990,50,6,3,165,165,0.009421105,0,1,0.009502068,48015
"CBFS","100_990_50_6_8",100,990,50,6,8,165,165,0.010499762,0,1,0.010581998,48015
"CBFS","100_990_50_6_10",100,990,50,6,10,165,165,0.010146996,0,1,0.010222568,48015
"CBFS","100_990_100_6_2",100,990,100,6,2,208,208,0.020134831,8,13,0.178189075,198364
"CBFS","100_990_100_6_3",100,990,100,6,3,208,208,0.018681927,0,14,0.191751151,196252
"CBFS","100_990_100_6_4",100,990,100,6,4,208,208,0.018814217,0,11,0.188433825,197510
"CBFS","100_990_100_6_1",100,990,100,6,1,208,208,0.017028925,0,14,0.202115096,198919
"CBFS","100_990_100_6_6",100,990,100,6,6,208,208,0.019181349,0,13,0.196976069,195044
"CBFS","100_990_100_6_5",100,990,100,6,5,208,208,0.019003864,0,12,0.214258362,197349
"CBFS","100_990_100_6_7",100,990,100,6,7,208,208,0.020342503,0,13,0.213908592,200818
"CBFS","100_990_100_6_8",100,990,100,6,8,208,208,0.025172516,5,12,0.222509838,196512
