"","nodes","labels","cost"
"1",100,25,56345
"2",100,50,896790
"3",100,100,4500630
"4",100,125,7446555
"5",200,50,302038
"6",200,100,4600594
"7",200,200,21536448
"8",200,250,122583248
"9",300,75,1197642
"10",300,150,5848740
"11",300,300,111317711
"12",300,375,181780657
"13",400,100,1474604
"14",400,200,22164532
"15",400,400,354131638
"16",400,500,581552802
"17",500,125,2389069
"18",500,250,47302110
"19",500,500,217356180
"20",500,625,1432702049
"21",1000,250,11023740
"22",1000,500,218236396
"23",1000,1000,4030297382
"24",1000,1250,6576716220
