method,name,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost
pilot.json,100_990_25_3_1,100,990,25,3,1,3,56345
pilot.json,100_990_25_3_2,100,990,25,3,2,3,53887
pilot.json,100_990_25_3_3,100,990,25,3,3,1,55593
pilot.json,100_990_25_3_4,100,990,25,3,4,2,55021
pilot.json,100_990_25_3_5,100,990,25,3,5,3,53965
pilot.json,100_990_25_3_6,100,990,25,3,6,2,55313
pilot.json,100_990_25_3_8,100,990,25,3,8,2,55421
pilot.json,100_990_25_3_9,100,990,25,3,9,3,55285
pilot.json,100_990_25_3_10,100,990,25,3,10,3,54519
pilot.json,100_990_50_3_1,100,990,50,3,1,16,294812
pilot.json,100_990_50_3_2,100,990,50,3,2,20,294504
pilot.json,100_990_50_3_4,100,990,50,3,4,21,285336
pilot.json,100_990_50_3_5,100,990,50,3,5,18,287146
pilot.json,100_990_50_3_6,100,990,50,3,6,17,281150
pilot.json,100_990_50_3_7,100,990,50,3,7,22,289800
pilot.json,100_990_50_3_9,100,990,50,3,9,16,287598
pilot.json,100_990_50_6_3,100,990,50,6,3,1,889258
pilot.json,100_990_50_6_8,100,990,50,6,8,1,893882
pilot.json,100_990_50_6_10,100,990,50,6,10,1,896790
pilot.json,100_990_100_6_1,100,990,100,6,1,14,4485816
pilot.json,100_990_100_6_3,100,990,100,6,3,15,4445570
pilot.json,100_990_100_6_2,100,990,100,6,2,14,4455544
pilot.json,100_990_100_6_4,100,990,100,6,4,12,4464110
pilot.json,100_990_100_6_5,100,990,100,6,5,13,4451724
pilot.json,100_990_100_6_6,100,990,100,6,6,13,4399550
pilot.json,100_990_100_6_8,100,990,100,6,8,12,4416806
pilot.json,100_990_100_6_7,100,990,100,6,7,13,4500630
pilot.json,100_990_100_6_9,100,990,100,6,9,13,4457622
pilot.json,100_990_100_6_10,100,990,100,6,10,12,4424274
pilot.json,200_3980_50_3_1,200,3980,50,3,1,7,293056
pilot.json,200_3980_50_3_2,200,3980,50,3,2,3,297072
pilot.json,200_3980_50_3_3,200,3980,50,3,3,7,295574
pilot.json,200_3980_50_3_4,200,3980,50,3,4,6,292356
pilot.json,200_3980_50_3_5,200,3980,50,3,5,7,300182
pilot.json,200_3980_50_3_6,200,3980,50,3,6,6,298970
pilot.json,200_3980_50_3_7,200,3980,50,3,7,8,292810
pilot.json,100_990_125_6_2,100,990,125,6,2,22,7274703
pilot.json,200_3980_50_3_8,200,3980,50,3,8,6,294514
pilot.json,100_990_125_6_1,100,990,125,6,1,19,7370955
pilot.json,200_3980_50_3_9,200,3980,50,3,9,6,302038
pilot.json,200_3980_50_3_10,200,3980,50,3,10,7,295144
pilot.json,100_990_125_6_3,100,990,125,6,3,18,7303361
pilot.json,100_990_125_6_4,100,990,125,6,4,20,7385977
pilot.json,100_990_125_6_5,100,990,125,6,5,18,7363769
pilot.json,100_990_125_6_6,100,990,125,6,6,20,7446555
pilot.json,100_990_125_6_7,100,990,125,6,7,22,7421897
pilot.json,100_990_125_6_9,100,990,125,6,9,21,7300145
pilot.json,100_990_125_6_8,100,990,125,6,8,21,7263533
